crd_number,sec_number,name,other_names,registration_status,registration_begin_date,firm_size,firm_type,formed_state,formed_date,phone,finra_approved_registration_count,number_of_branches,branch_locations_count,disclosures_count,street,city,state,zip_code,country,latitude,longitude,matched_from_name,match_confidence,phase,scraped_at
3767,3774,&PARTNERS,"&PARTNERS|ZINN WEALTH MANAGEMENT|ZAMBROSKI-POLSON WEALTH ADVISORS|WISEPATH WEALTH MANAGEMENT|WISE & PARTNERS|WILTON SPRINGS FINANCIAL|WILTON SPRINGS|WILLOWSTONE WEALTH MANAGEMENT|WILEY BROS.-AINTREE, LLC|WILEY BROS.-AINTREE CAPITAL, LLC|WILEY BROS.-AINTREE CAPITAL|WILEY BROS. INC.|WILEY BROS. - AINTREE CAPITAL|WEST FINANCIAL GROUP|WAVEWOOD PRIVATE WEALTH|VON HELLENS &PARTNERS|VIRIBUS WEALTH MANAGEMENT|UNNERSTALL WEALTH MANAGEMENT|TUCKAWAY CAPITAL &PARTNERS|TRIUNE WEALTH MANAGEMENT|TRILLIUM WEALTH|TRIDENT WEALTH MANAGEMENT GROUP|THOMPSON WEALTH MANAGEMENT|THIRD COAST WEALTH PLANNING|THE NORTHSHORE GROUP|THE KERRIGAN GROUP|THE JORDANICH GROUP|THE JOHNSON-STRNADEL GROUP|THE DONOHUE GROUP|THAMES PRIVATE WEALTH STRATEGIES|TEDERS & QUAKENBUSH WEALTH MANAGEMENT GROUP|TEAGLE WEALTH|SWARTZENTRUBER WEALTH MANAGEMENT|STREAMLINE PRIVATE WEALTH|STILES FINANCIAL|STEELCREST INVESTMENT STRATEGIES|STANFORD WEALTH MANAGEMENT GROUP|STANFORD WEALTH MANAGEMENT|SJ MARTIN WEALTH MANAGEMENT|SHICK WEALTH MANAGEMENT|SCHMIEDBAUER INVESTMENTS &PARTNERS|ROY, TEDESCHI, SCHMIDT PRIVATE WEALTH|ROOKS&PARTNERS|ROOKS &PARTNERS - INVERNESS, FL|RIVERLINE WEALTH|RIAZZI, RHYNE & SWAIM INVESTMENT GROUP|PRAIRIE HERITAGE FINANCIAL|POWER 5 PALESTINE, TX|POWER 5 FINANCIAL|POWER 5 - TYLER TX|POWER 5 - PALESTINE TX|POWER 5 - OLYMPIA, WA|POWER 5 - OLYMPIA WA|PLAIDSKY ADVISORS|PARSONS FINANCIAL|PARADYM WEALTH MANAGEMENT|PALMETTO FINANCIAL ADVISORS|PALM SHORES WEALTH|ONE PRIVATE WEALTH|NORTH LAKE WEALTH ADVISORS|NOBLES GROOMS WEALTH ADVISORS|MERIDIAN WEALTH MANAGEMENT|MARTIN WRIGHT GROUP|MARSTELLER WEALTH / TEAGLE WEALTH/ COMPTON WEALTH / KLEINSCHUSTER WEALTH MANAGEMENT|MARSTELLER WEALTH|MARNE WEALTH MANAGEMENT|MANNEN FINANCIAL GROUP|M.T. WALDRON ADVISORS|M. BENNETT FINANCIAL GROUP|LUMITAS WEALTH STRATEGIES|LODGEVIEW WEALTH ADVISORS|LINKS PRIVATE WEALTH|LIGHTFOOT FINANCIAL GROUP|LANG INVESTMENT GROUP|KLEINSCHUSTER WEALTH MANAGEMENT|JW WEALTH MANAGEMENT|JOHNSTON WEALTH MANAGEMENT|IVY CREST WEALTH MANAGEMENT|INDIGO ADVISORS|HERITAGE LAKE ADVISORS|HELIX PRIVATE WEALTH|HEARTWOOD FINANCIAL GROUP|HARVEST POINT WEALTH ADVISORS|HAMPTON LANHAM GROUP|GUIDENT WEALTH MANAGEMENT|GOLD KEY PRIVATE WEALTH|GERARDI WEALTH MANAGEMENT|GELLER PRIVATE WEALTH|FOUR CORNERS WEALTH|FORGE POINT ADVISORS|FOCUS CAPITAL PARTNERS PRIVATE WEALTH|FOCUS CAPITAL PARTNERS|FIRST SERVANT WEALTH MANAGEMENT|FIRST KEYSTONE WEALTH MANAGEMENT|ENTANDEM WEALTH ADVISORS|ENSEMBLE WEALTH PLANNING|ELEVISION WEALTH MANAGEMENT|ELEIVA FINANCIAL|DRH WEALTH MANAGEMENT|DELUCA FINANCIAL STRATEGIES|DAVIDSON WEALTH MANAGEMENT|CRESTVIEW CAPITAL ADVISORS|CREECH SCHWARTZ WEALTH MANAGEMENT|CREECH SCHWARTZ PRIVATE MANAGEMENT GROUP|CRAIGER WEALTH MANAGEMENT|COTTAGE WEALTH ADVISORS|CORIOLIS WEALTH MANAGEMENT|COMPTON WEALTH|CIRCLEPOINT FINANCIAL|CENTERCOAST PRIVATE WEALTH|CARVE ADVISORS|CAPONE &PARTNERS|CANYON RIVER WEALTH PLANNING|BROADCLOTH WEALTH|BRIO WEALTH SOLUTIONS - BOBBI BOSTICK|BRIO WEALTH SOLUTIONS|BRIDGEWATER PRIVATE WEALTH|BRIDGEMILL PRIVATE WEALTH|BLACKLOCK WEALTH MANAGEMENT|BASE CAPITAL PARTNERS|ARROWOOD CAPITAL|ARROWHEAD PRIVATE WEALTH|ARBOR ROW ADVISORS|ARBOR AVENUE PRIVATE WEALTH|APRICITY ADVISORS|ALETHEIA CAPITAL GROUP|ALDERSTONE WEALTH MANAGEMENT|AGAPE WEALTH STRATEGIES|AERIAL WEALTH ADVISORS|49 NORTH ADVISORS|26EAST PRIVATE WEALTH|1854 CAPITAL MANAGEMENT|1828 CAPITAL|&PARTNERS OSJ AND MARTIN WRIGHT GROUP",Approved,03/30/1984,Large,Limited Liability Company,Tennessee,12/07/1995,615 255 6431,1,225,1,9,40 BURTON HILLS BLVD.,NASHVILLE,TN,37215,UNITED STATES,,,&PARTNERS,1.0,3,2026-04-02T01:46:36.450792
326590,71095,1031 SECURITIES INC.,"1031 SECURITIES INC.|1031 SECURITIES, LLC",Approved,03/15/2024,Small,Corporation,Michigan,03/27/2023,248-761-6027,1,5,1,0,25300 WEST 13 MILE RD,FRANKLIN,MI,48025,UNITED STATES,,,1031 SECURITIES INC.,1.0,3,2026-04-02T02:00:31.856458
277033,69648,16 POINTS LLC,16 POINTS LLC|DOGWOOD SECURITIES LLC,Approved,12/09/2015,Small,Limited Liability Company,New York,04/14/2015,1 646 820 7750,1,2,1,0,10101 COND ROYAL PALM,VEGA ALTA,PR,00692,USA,,,16 POINTS LLC,1.0,3,2026-04-02T01:57:31.787512
153006,68495,"1851 SECURITIES, INC","1851 SECURITIES, INC",Approved,09/07/2010,Small,Corporation,Delaware,01/06/2010,860-403-5783,1,2,1,0,ONE AMERICAN ROW,HARTFORD,CT,06102,USA,,,"1851 SECURITIES, INC",1.0,3,2026-04-02T01:55:44.420685
139091,67187,1964 GLOBAL,"1964 GLOBAL|BCS PLACEMENTS, LLC|1964 GLOBAL, LLC",Approved,05/16/2006,Small,Limited Liability Company,New York,11/07/2005,212 528-0852,1,2,1,1,71 MURRAY STREET,NEW YORK,NY,10007,,,,1964 GLOBAL,1.0,3,2026-04-02T01:54:10.476355
39164,48557,"1ST DISCOUNT BROKERAGE, INC.","1DB ASSET MANAGEMENT|1ST DISCOUNT BROKERAGE, INC.",Approved,12/19/1995,Small,Corporation,Florida,07/14/1995,561-515-3200,1,10,2,10,8927 HYPOLUXO ROAD,LAKE WORTH,FL,33467,UNITED STATES,,,"1ST DISCOUNT BROKERAGE, INC.",1.0,3,2026-04-02T01:50:18.575330
314855,70757,2021 CAPITAL,"2021 CAPITAL|2021 CAPITAL, LLC",Approved,01/11/2022,Small,Limited Liability Company,Delaware,07/07/2021,847-922-5688,1,2,1,0,20 S CLARK STREET,CHICAGO,IL,60603,UNITED STATES,,,2021 CAPITAL,1.0,3,2026-04-02T01:59:39.327205
327657,71197,22V SECURITIES LLC,22V SECURITIES LLC,Approved,08/13/2024,Small,Limited Liability Company,Delaware,08/04/2022,646-273-4500,1,3,1,0,15 ROCKAWAY AVENUE,GARDEN CITY,NY,11530,UNITED STATES,,,22V SECURITIES LLC,1.0,3,2026-04-02T02:00:35.745155
166675,69225,"303 ALTERNATIVES, LLC","303 ALTERNATIVES, LLC|303 CAPITAL MARKETS, LLC",Approved,05/09/2014,Small,Limited Liability Company,Delaware,10/23/2012,312-605-8000,1,1,1,0,401 WEST SUPERIOR STREET,CHICAGO,IL,60654,USA,,,"303 ALTERNATIVES, LLC",1.0,3,2026-04-02T01:56:48.294967
288569,69952,"303 SECURITIES, LP","303 SECURITIES, LLC|ARB SECURITIES|303 SECURITIES, LP",Approved,01/25/2023,Small,Other Types of Legal Formation,Delaware,03/02/2017,312 605-8012,1,1,1,1,401 W. SUPERIOR STREET,CHICAGO,IL,60654,,,,"303 SECURITIES, LP",1.0,3,2026-04-02T01:58:04.511674
329291,71213,360 ONE INC.,360 ONE INC.,Approved,08/28/2024,Small,Corporation,New York,01/30/2008,212-221-6800,1,2,1,0,1120 AVENUE OF THE AMERICAS,NEW YORK,NY,10036,UNITED STATES,,,360 ONE INC.,1.0,3,2026-04-02T02:00:45.368032
317740,70903,3G FINANCIAL,"3G FINANCIAL|GOLDEN GATE GLOBAL FINANCIAL, LLC",Approved,04/12/2023,Small,Limited Liability Company,Delaware,10/01/2021,212-220-5766,1,4,1,0,155 NORTH UPPER WACKER DRIVE,CHICAGO,IL,60606,UNITED STATES,,,3G FINANCIAL,1.0,3,2026-04-02T01:59:56.452450
173648,69544,3ICO SECURITIES LLC,3ICO SECURITIES LLC|MAINLINE SECURITIES LLC,Approved,03/28/2016,Small,Limited Liability Company,Delaware,08/18/2014,781-771-6032,1,3,1,0,101 W. ELM STREET,CONSHOHOCKEN,PA,19428,UNITED STATES OF AMERICA,,,3ICO SECURITIES LLC,1.0,3,2026-04-02T01:57:19.779996
290234,70023,3PE ADVISORS,"3P ENERGY ADVISORS LLC|SPEYSIDE ADVISORS, LLC|3PE ADVISORS",Approved,01/18/2019,Small,Limited Liability Company,Texas,05/12/2017,972-645-3250,1,2,1,0,"1910 PACIFIC AVENUE, STE 14183",DALLAS,TX,75201,,,,3PE ADVISORS,1.0,3,2026-04-02T01:58:12.962504
325241,71082,3WIRE ADVISORY LLC,3WIRE ADVISORY LLC,Approved,01/09/2024,Small,Limited Liability Company,Virginia,10/13/2022,202-256-5048,1,3,1,0,1717 PENNSYLVANIA AVENUE NW,WASHINGTON,DC,20006,UNITED STATES,,,3WIRE ADVISORY LLC,1.0,3,2026-04-02T02:00:25.546275
326718,71102,4170 SECURITIES LLC,4170 SECURITIES LLC,Approved,02/23/2024,Small,Limited Liability Company,Illinois,03/08/2023,312-912-7336,1,1,1,0,372 WEST ONTARIO STREET,CHICAGO,IL,60654,UNITED STATES,,,4170 SECURITIES LLC,1.0,3,2026-04-02T02:00:32.759559
308304,70635,5D PARTNERS LLC,5D INVESTMENT BANK|THE BANK OF SPORTS|THE BANK OF RWA|THE BANK OF ARTS|5D SECURITIES|5D PARTNERS LLC|5D PARTNERS INVESTMENT BANK|5D PARTNERS,Approved,06/28/2021,Small,Limited Liability Company,Delaware,03/10/2020,212-852-0295,1,3,1,0,535 FIFTH AVE 4TH FLOOR,NEW YORK,NY,10017,UNITED STATES,,,5D PARTNERS LLC,1.0,3,2026-04-02T01:59:10.831600
288294,69935,777 SECURITIES,"777 SECURITIES|VISION ONE PARTNERS, LLC|BERNSTEIN HEBERT SECURITIES LLC",Approved,09/26/2018,Small,Limited Liability Company,New York,03/22/2017,347-322-9322,1,2,1,0,1 GRACIE SQUARE,NEW YORK,NY,10028,,,,777 SECURITIES,1.0,3,2026-04-02T01:58:03.312489
27041,42833,"A. P. SECURITIES, INC.","A. P. SECURITIES, INC.",Approved,10/09/1990,Small,Corporation,New York,03/20/1990,(631)757-3200,1,3,1,0,15 WATERVIEW DR,CENTERPORT,NY,11721,UNITED STATES,,,"A. P. SECURITIES, INC.",1.0,3,2026-04-02T01:49:02.359384
40001,48937,A.BRIDGE REALVEST SECURITIES CORPORATION,A.BRIDGE REALVEST SECURITIES CORPORATION|REALVEST SECURITIES CORPORATION,Approved,11/12/1996,Small,Corporation,New York,06/23/1995,(201) 746-9292,1,2,1,0,244 CAMBRIDGE OAKS,PARK RIDGE,NJ,07656,UNITED STATES,,,A.BRIDGE REALVEST SECURITIES CORPORATION,1.0,3,2026-04-02T01:50:26.077444
3115,11684,A.G. QUINTAL INVESTMENT COMPANY INC.,A.G. QUINTAL INVESTMENT COMPANY INC.|ANTONE G QUINTAL INVESTMENT COMPANY,Approved,09/20/1963,Small,Corporation,Massachusetts,01/03/1989,(508) 995-2611,1,2,1,1,2177 ACUSHNET AVE.,NEW BEDFORD,MA,02745-6316,UNITED STATES,,,A.G. QUINTAL INVESTMENT COMPANY INC.,1.0,3,2026-04-02T01:46:32.833338
8361,25132,A.G.P. / ALLIANCE GLOBAL PARTNERS,"A.G.P / ALLIANCE GLOBAL PARTNERS|VAN PELT & COMPANY|THE A.I.D. GROUP|SHILLIN WEALTH MANAGEMENT|SES GROUP|PINZKER & ASSOCIATES|NTS BEARING|LUNDBLADE FINANCIAL GROUP|LOWELL NEWMAN|KS CAPITAL MANAGEMENT, INC|INTUIT WEALTH MANAGEMENT|EURO PACIFIC CAPITAL, INC.|EPC ADVISORS GROUP, A DIV. OF A.G.P. / ALLIANCE GLOBAL PARTNERS|EPC ADVISORS GROUP|BOATMAN FINANCIAL MANAGEMENT, PLLC|ALLIANCE GLOBAL PLANNING|AGP FINANCIAL DISTRICT|ABC WEALTH MANAGEMENT|A.G.P. / ALLIANCE GLOBAL PARTNERS, LLC|A.G.P. / ALLIANCE GLOBAL PARTNERS OF THE LOWCOUNTRY|A.G.P. / ALLIANCE GLOBAL PARTNERS CORP.|A.G.P. / ALLIANCE GLOBAL PARTNERS|A.G.P. / ALLIANCE GLOBAL|A.G.P.",Approved,10/07/1980,Medium,Limited Liability Company,New York,07/06/2022,203-662-9700,1,45,4,21,88 POST ROAD WEST,WESTPORT,CT,06880,UNITED STATES,,,A.G.P. / ALLIANCE GLOBAL PARTNERS,1.0,3,2026-04-02T01:47:16.644143
288410,69944,A5 SECURITIES LLC,A5 SECURITIES LLC,Approved,09/18/2017,Small,Limited Liability Company,New York,02/24/2017,212 765-0043,1,2,1,0,375 WEST END AVE UNIT 10D,NEW YORK,NY,10024,,,,A5 SECURITIES LLC,1.0,3,2026-04-02T01:58:03.911893
188,12911,"AAG CAPITAL, INC","AAG CAPITAL, INC|CREATIVE INVESTOR SERVICES, INC.|AAG CAPITAL, INC.",Approved,10/16/1962,Small,Corporation,Florida,11/25/1981,941 932 2158,1,11,1,1,2211 ASHLEY OAKS CIRCLE,WESLEY CHAPEL,FL,33544,UNITED STATES,,,"AAG CAPITAL, INC",1.0,3,2026-04-02T01:45:58.578947
166932,69235,AARDVARK SECURITIES LLC,AARDVARK SECURITIES LLC,Approved,08/24/2016,Small,Limited Liability Company,Illinois,01/08/2013,312-284-5500,1,1,1,0,550 W JACKSON BLVD.,CHICAGO,IL,60661,,,,AARDVARK SECURITIES LLC,1.0,3,2026-04-02T01:56:49.173252
32119,46418,ABACUS INTERNATIONAL CAPITAL CORP.,ABACUS CAPITAL CORP.|ABACUS SECURITIES CORP.|ABACUS INTERNATIONAL CAPITAL CORP.,Approved,03/21/1994,Small,Corporation,New York,03/15/1993,212-266-9063,1,2,1,0,"6 BOWERY, 4TH FLOOR",NEW YORK,NY,10013,UNITED STATES,,,ABACUS INTERNATIONAL CAPITAL CORP.,1.0,3,2026-04-02T01:49:32.350099
35127,46571,"ABACUS INVESTMENTS, INC.","ABACUS INVESTMENTS, INC.",Approved,03/03/1994,Small,Corporation,Wisconsin,09/07/1993,262-431-4095,1,4,1,0,S33 W35676 MEADOW TRAIL,DOUSMANS,WI,53118,UNITED STATES,,,"ABACUS INVESTMENTS, INC.",1.0,3,2026-04-02T01:49:40.462152
146230,67799,"ABERDEEN FUND DISTRIBUTORS, LLC","ABERDEEN FUND DISTRIBUTORS, LLC",Approved,06/10/2008,Small,Limited Liability Company,Delaware,10/31/2007,215-405-5700,1,5,1,0,1900 MARKET STREET,PHILADELPHIA,PA,19103,,,,"ABERDEEN FUND DISTRIBUTORS, LLC",1.0,3,2026-04-02T01:54:53.047549
30605,44768,ABG SUNDAL COLLIER INC.,"ABG SECURITIES, INC.|FINANSHUSET (USA) SECURITIES, INC.|FIBA NORDIC SECURITIES, INC.|ABG SUNDAL COLLIER INC.",Approved,04/01/1993,Small,Corporation,Delaware,08/09/1991,212-605-3800,1,2,1,1,112 WEST 34TH STREET,NEW YORK,NY,10120,UNITED STATES,,,ABG SUNDAL COLLIER INC.,1.0,3,2026-04-02T01:49:23.354886
167190,69247,"ABG, LLC","ABG & CO. LLC|ABG, LLC|ABG SECURITIES, LLC",Approved,03/04/2014,Small,Limited Liability Company,Kansas,01/22/2013,310-531-3093,1,2,1,0,725 FIFTH AVENUE,NEW YORK,NY,10022,USA,,,"ABG, LLC",1.0,3,2026-04-02T01:56:50.388834
325235,71059,ABN AMRO CAPITAL MARKETS (USA) LLC,ABN AMRO CAPITAL MARKETS (USA) LLC,Approved,11/07/2023,Small,Limited Liability Company,Delaware,02/02/2023,(917) 331-4881,1,3,1,1,250 PARK AVENUE,NEW YORK,NY,10177,UNITED STATES,,,ABN AMRO CAPITAL MARKETS (USA) LLC,1.0,3,2026-04-02T02:00:25.243273
14020,34354,ABN AMRO CLEARING USA LLC,ABN AMRO CLEARING CHICAGO LLC|SHAMROCK SECURITIES|SHAMROCK OPTIONS|SHAMROCK EQUITY SECURITIES|O'CONNOR & COMPANY LLC|O'CONNOR & COMPANY|FORTIS CLEARING AMERICAS LLC|ABN AMRO CLEARING USA LLC,Approved,04/23/1984,Small,Limited Liability Company,Illinois,06/30/1997,312-604-8000,1,3,26,83,175 WEST JACKSON BLVD,CHICAGO,IL,60604,UNITED STATES,,,ABN AMRO CLEARING USA LLC,1.0,3,2026-04-02T01:47:40.727074
151796,68398,ABN AMRO SECURITIES (USA) LLC,ABN AMRO SECURITIES (USA) LLC|MEESPIERSON SECURITIES LLC,Approved,04/09/2010,Small,Limited Liability Company,Delaware,01/28/2009,917-284-6700,1,2,1,1,303 GEORGE STREET,NEW BRUNSWICK,NJ,08901,,,,ABN AMRO SECURITIES (USA) LLC,1.0,3,2026-04-02T01:55:36.308488
13498,29452,ABRAHAM SECURITIES CORPORATION,"ABRAHAM & CO., INC.|ABRAHAM SECURITIES CORPORATION",Approved,10/20/1983,Small,Corporation,Washington,07/29/1982,253-851-7486,1,2,1,1,3724 47TH STREET CT,GIG HARBOR,WA,98335,US,,,ABRAHAM SECURITIES CORPORATION,1.0,3,2026-04-02T01:47:35.622713
299729,70312,ABSA SECURITIES U.S. INC.,ABSA SECURITIES U.S. INC.,Approved,02/25/2020,Small,Corporation,Delaware,09/06/2018,646-844-0282,1,2,1,0,780 THIRD AVENUE,NEW YORK,NY,10017,UNITED STATES,,,ABSA SECURITIES U.S. INC.,1.0,3,2026-04-02T01:58:40.522165
317903,70837,AC SUNSHINE SECURITIES LLC,AC SUNSHINE SECURITIES LLC,Approved,09/19/2022,Small,Limited Liability Company,Florida,06/16/2021,689-689-9686,1,2,2,0,200 E. ROBINSON STREET,ORLANDO,FL,32801,UNITED STATES,,,AC SUNSHINE SECURITIES LLC,1.0,3,2026-04-02T01:59:57.343855
47798,51899,ACA/PRUDENT INVESTORS PLANNING CORPORATION,ACA/PRUDENT INVESTORS PLANNING CORPORATION,Approved,08/27/1999,Small,Corporation,New Jersey,04/15/1999,732-926-1100,1,3,1,0,290 ROUTE 22 WEST,GREEN BROOK,NJ,08812,UNITED STATES,,,ACA/PRUDENT INVESTORS PLANNING CORPORATION,1.0,3,2026-04-02T01:51:30.741372
17433,35173,"ACADEMY SECURITIES, INC.","ACADEMY ASSET MANAGEMENT|STERLING INVESTMENT SERVICES, INC.|LASALLE BROKERAGE SERVICES, INC.|ACADEMY SECURITIES, INC.",Approved,05/28/1986,Small,Corporation,Delaware,11/07/1985,646-736-3995,1,9,1,1,622 3RD AVENUE,NEW YORK,NY,10017,UNITED STATES,,,"ACADEMY SECURITIES, INC.",1.0,3,2026-04-02T01:48:11.336120
174667,69577,ACALYX ADVISORS INC.,ACALYX ADVISORS INC.,Approved,06/29/2015,Small,Corporation,Delaware,01/02/2015,2122350870,1,5,1,0,4201 WILSON BLVD,ARLINGTON,VA,22203,,,,ACALYX ADVISORS INC.,1.0,3,2026-04-02T01:57:23.093733
330055,71244,ACANTHUS U.S. LIMITED,ACANTHUS U.S. LIMITED,Approved,02/10/2025,Small,Other Types of Legal Formation,,07/07/2023,442073175853,1,0,1,0,10-12 BLANDFORD STREET,LONDON,,W1U 4AZ,UNITED KINGDOM,,,ACANTHUS U.S. LIMITED,1.0,3,2026-04-02T02:00:48.056121
167019,69239,"ACC SECURITIES, LLC","ACC SECURITIES, LLC",Approved,09/10/2013,Small,Limited Liability Company,Texas,09/16/2010,214.217.7754,1,2,1,0,14180 DALLAS PARKWAY,DALLAS,TX,75254,USA,,,"ACC SECURITIES, LLC",1.0,3,2026-04-02T01:56:49.790370
282755,69734,ACCEPTUS CAPITAL CORP.,ACCEPTUS CAPITAL CORP.,Approved,11/30/2016,Small,Corporation,New York,09/11/2015,516 236 0074,1,2,1,0,22 COUNTRY CLUB DRIVE,PORT WASHINGTON,NY,11050,UNITED STATES,,,ACCEPTUS CAPITAL CORP.,1.0,3,2026-04-02T01:57:42.297977
33065,46065,"ACCESS FINANCIAL GROUP, INC.","ACCESS FINANCIAL GROUP, INC.|CRYSTAL SECURITIES INC.",Approved,08/24/1994,Small,Corporation,Delaware,12/18/1992,312-655-8200,1,5,1,6,118 NORTH CLINTON ST-SUITE 450,CHICAGO,IL,60661,UNITED STATES,,,"ACCESS FINANCIAL GROUP, INC.",1.0,3,2026-04-02T01:49:35.661955
